Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
,1422711.6,84.34,,,,,
,1492418.14,80.91,,,,,
,1546704.18,80.48,,,,,
,1448938.92,83.15,,,,,
,1385065.2,83.36,,,,,
TOTAL,37487990.54,1666.08,,,,,
AVERAGE,1499519.622,66.6432,,,,,
MAX VALUE,1643690.9,84.34,,,,,
MIN VALUE,1385065.2,38.51,,,,,
,,,,,,,
,CPI,Unemployment,,,,,
,211.096358,8.106,,,,,
,211.242169,8.106,,,,,
,211.289429,8.106,,,,,
,211.319643,8.106,,,,,
,211.350429,8.106,,,,,
,211.380042,8.106,,,,,
,211.215635,8.106,,,,,
,211.018042,8.106,,,,,
,210.820449,7.808,,,,,
,210.622857,7.808,,,,,
,210.4887,7.808,,,,,
,210.439128,7.808,,,,,
,210.395445,7.808,,,,,
,210.339968,7.808,,,,,
,210.337426,7.808,,,,,
,210.617093,7.808,,,,,
,210.89676,7.808,,,,,
,211.176478,7.808,,,,,
,211.456071,7.808,,,,,
,211.453779,7.808,,,,,
,211.338652,7.808,,,,,
,211.223533,7.787,,,,,
,211.108014,7.787,,,,,
,211.100385,7.787,,,,,
,211.235143,7.787,,,,,
TOTAL,5274.961628,197.5,,,,,
AVERAGE,210.9984651,7.9,,,,,
MAX VALUE,211.456071,8.106,,,,,
MIN VALUE,210.337426,7.787,,,,,
